file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,createCustomer/1[javax.swing.JFrame],FALSE,49,1,2,1,1,5,10,34,0,4,1,10,0,0,0,2,2,0,17,0,6,3,3,0,0,0,40,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,setCustomerName/1[java.lang.String],FALSE,24,0,1,1,0,2,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,9,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,myProduct/0,FALSE,199,0,1,1,0,7,15,41,1,11,0,15,0,0,1,3,2,0,14,0,14,2,3,0,0,0,40,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,Customer/1[java.lang.String],TRUE,18,1,4,3,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,"searchCustomer/2[java.lang.String,java.lang.String]",FALSE,246,0,3,3,0,8,14,38,1,5,2,14,0,0,1,3,2,0,15,0,9,3,3,0,0,0,32,9,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,setAddress/1[java.lang.String],FALSE,33,0,1,1,0,2,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Customer.java,attr.Customer,fetch/0,FALSE,86,0,2,2,0,7,11,34,0,4,0,11,0,0,1,3,2,0,11,0,10,2,3,0,0,0,21,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/AddEmployeeActivity.java,activity.AddEmployeeActivity,"AddEmployeeActivity/2[activity.ViewEmployeeActivity,attr.Employee]",TRUE,20,2,1,1,0,1,17,108,0,0,2,17,0,0,0,0,0,1,14,77,22,4,0,0,0,0,39,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/AddEmployeeActivity.java,activity.AddEmployeeActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,151,3,9,0,9,8,23,39,0,1,1,23,0,0,0,0,1,1,8,3,1,2,3,0,0,0,24,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/MyProfileActivity.java,activity.MyProfileActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,271,5,8,0,8,13,16,59,0,1,1,16,0,0,0,4,2,0,5,1,1,1,3,0,0,0,28,1,0,FALSE
